"","Name","Position","Age","Season","Transfer_fee","League_to"
"2560","Jannik Vestergaard","Centre-Back","22","2014-2015",4500000,"1.Bundesliga"
"2561","Federico Bonazzoli","Centre-Forward","17","2014-2015",4500000,"Serie A"
"2562","Guilherme","Defensive Midfield","23","2014-2015",4500000,"Serie A"
"2563","Mohamed Diamé","Central Midfield","27","2014-2015",4400000,"Premier League"
"2564","Michael Dawson","Centre-Back","30","2014-2015",4400000,"Premier League"
"2565","Hiroshi Kiyotake","Attacking Midfield","24","2014-2015",4300000,"1.Bundesliga"
"2566","Adil Rami","Centre-Back","28","2014-2015",4250000,"Serie A"
"2567","Carles Gil","Right Winger","22","2014-2015",4200000,"Premier League"
"2568","Valentin Stocker","Attacking Midfield","25","2014-2015",4000000,"1.Bundesliga"
"2569","Esteban Granero","Central Midfield","27","2014-2015",4000000,"LaLiga"
"2570","Kevin De Bruyne","Attacking Midfield","24","2015-2016",76000000,"Premier League"
"2571","Raheem Sterling","Right Winger","20","2015-2016",63700000,"Premier League"
"2572","Ángel Di María","Right Winger","27","2015-2016",63000000,"Ligue 1"
"2573","Anthony Martial","Left Winger","19","2015-2016",60000000,"Premier League"
"2574","Christian Benteke","Centre-Forward","24","2015-2016",46500000,"Premier League"
"2575","Nicolás Otamendi","Centre-Back","27","2015-2016",44600000,"Premier League"
"2576","Julian Draxler","Central Midfield","21","2015-2016",43000000,"1.Bundesliga"
"2577","Roberto Firmino","Second Striker","23","2015-2016",41000000,"Premier League"
"2578","Paulo Dybala","Second Striker","21","2015-2016",40000000,"Serie A"
"2579","Arturo Vidal","Central Midfield","28","2015-2016",37500000,"1.Bundesliga"
"2580","Jackson Martínez","Centre-Forward","28","2015-2016",37100000,"LaLiga"
"2581","Geoffrey Kondogbia","Central Midfield","22","2015-2016",36000000,"Serie A"
"2582","Morgan Schneiderlin","Defensive Midfield","25","2015-2016",35000000,"Premier League"
"2583","Arda Turan","Left Winger","28","2015-2016",34000000,"LaLiga"
"2584","Memphis Depay","Left Winger","21","2015-2016",34000000,"Premier League"
"2585","Danilo","Right-Back","23","2015-2016",31500000,"LaLiga"
"2586","Mateo Kovacic","Central Midfield","21","2015-2016",31000000,"LaLiga"
"2587","Carlos Bacca","Centre-Forward","28","2015-2016",30000000,"Serie A"
"2588","Douglas Costa","Right Winger","24","2015-2016",30000000,"1.Bundesliga"
"2589","Rodrigo","Centre-Forward","24","2015-2016",30000000,"LaLiga"
"2590","Heung-min Son","Left Winger","23","2015-2016",30000000,"Premier League"
"2591","Álvaro Negredo","Centre-Forward","29","2015-2016",28000000,"LaLiga"
"2592","Pedro","Left Winger","28","2015-2016",27000000,"Premier League"
"2593","Alex Sandro","Left-Back","24","2015-2016",26000000,"Serie A"
"2594","Stefan Savic","Centre-Back","24","2015-2016",25000000,"LaLiga"
"2595","Layvin Kurzawa","Left-Back","22","2015-2016",25000000,"Ligue 1"
"2596","Alessio Romagnoli","Centre-Back","20","2015-2016",25000000,"Serie A"
"2597","Yannick Carrasco","Left Winger","21","2015-2016",24760000,"LaLiga"
"2598","Giannelli Imbula","Defensive Midfield","23","2015-2016",24250000,"Premier League"
"2599","Aymen Abdennour","Centre-Back","26","2015-2016",22000000,"LaLiga"
"2600","Mario Mandzukic","Left Winger","29","2015-2016",21000000,"Serie A"
"2601","Luciano Vietto","Centre-Forward","21","2015-2016",20000000,"LaLiga"
"2602","André Gomes","Central Midfield","21","2015-2016",20000000,"LaLiga"
"2603","Andrea Bertolacci","Central Midfield","24","2015-2016",20000000,"Serie A"
"2604","Georginio Wijnaldum","Central Midfield","24","2015-2016",20000000,"Premier League"
"2605","Abdul Rahman Baba","Left-Back","21","2015-2016",20000000,"Premier League"
"2606","Ivan Perisic","Left Winger","26","2015-2016",19000000,"Serie A"
"2607","Aleksandar Mitrovic","Centre-Forward","20","2015-2016",18500000,"Premier League"
"2608","Florian Thauvin","Right Winger","22","2015-2016",18350000,"Premier League"
"2609","Matteo Darmian","Right-Back","25","2015-2016",18000000,"Premier League"
"2610","Simone Zaza","Centre-Forward","24","2015-2016",18000000,"Serie A"
"2611","Sergej Milinkovic-Savic","Central Midfield","20","2015-2016",18000000,"Serie A"
"2612","Oumar Niasse","Centre-Forward","25","2015-2016",17900000,"Premier League"
"2613","Nathaniel Clyne","Right-Back","24","2015-2016",17700000,"Premier League"
"2614","Xherdan Shaqiri","Right Winger","23","2015-2016",17000000,"Premier League"
"2615","José Salomón Rondón","Centre-Forward","25","2015-2016",17000000,"Premier League"
"2616","Aleix Vidal","Right Winger","25","2015-2016",17000000,"LaLiga"
"2617","Filipe Luís","Left-Back","29","2015-2016",16000000,"LaLiga"
"2618","Toby Alderweireld","Centre-Back","26","2015-2016",16000000,"Premier League"
"2619","Jonjo Shelvey","Central Midfield","23","2015-2016",16000000,"Premier League"
"2620","Roberto Soldado","Centre-Forward","30","2015-2016",16000000,"LaLiga"
"2621","Andros Townsend","Right Winger","24","2015-2016",15700000,"Premier League"
"2622","Virgil van Dijk","Centre-Back","24","2015-2016",15700000,"Premier League"
"2623","Roberto Pereyra","Attacking Midfield","24","2015-2016",15000000,"Serie A"
"2624","Xherdan Shaqiri","Right Winger","23","2015-2016",15000000,"Serie A"
"2625","Asier Illarramendi","Defensive Midfield","25","2015-2016",15000000,"LaLiga"
"2626","Dimitri Payet","Attacking Midfield","28","2015-2016",15000000,"Premier League"
"2627","Mario Suárez","Defensive Midfield","28","2015-2016",15000000,"Serie A"
"2628","Jordy Clasie","Defensive Midfield","24","2015-2016",15000000,"Premier League"
"2629","João Cancelo","Right-Back","21","2015-2016",15000000,"LaLiga"
"2630","Ivan Cavaleiro","Right Winger","21","2015-2016",15000000,"Ligue 1"
"2631","Clinton N'Jie","Centre-Forward","22","2015-2016",14100000,"Premier League"
"2632","Petr Cech","Goalkeeper","33","2015-2016",14000000,"Premier League"
"2633","Adama Traoré","Central Midfield","20","2015-2016",14000000,"Ligue 1"
"2634","Yohan Cabaye","Central Midfield","29","2015-2016",13900000,"Premier League"
"2635","Benik Afobe","Centre-Forward","22","2015-2016",13300000,"Premier League"
"2636","Sergi Darder","Central Midfield","21","2015-2016",13100000,"Ligue 1"
"2637","Hernanes","Attacking Midfield","30","2015-2016",13000000,"Serie A"
"2638","Charles Aránguiz","Central Midfield","26","2015-2016",13000000,"1.Bundesliga"
"2639","Ramiro Funes Mori","Centre-Back","24","2015-2016",12900000,"Premier League"
"2640","Mohamed Elneny","Defensive Midfield","23","2015-2016",12500000,"Premier League"
"2641","Max Kruse","Second Striker","27","2015-2016",12000000,"1.Bundesliga"
"2642","Luis Muriel","Centre-Forward","24","2015-2016",12000000,"Serie A"
"2643","Chicharito","Centre-Forward","27","2015-2016",12000000,"1.Bundesliga"
"2644","Chancel Mbemba","Centre-Back","20","2015-2016",12000000,"Premier League"
"2645","Jordan Ayew","Centre-Forward","23","2015-2016",12000000,"Premier League"
"2646","Rony Lopes","Right Winger","19","2015-2016",12000000,"Ligue 1"
"2647","Wahbi Khazri","Attacking Midfield","24","2015-2016",11800000,"Premier League"
"2648","Allan","Central Midfield","24","2015-2016",11500000,"Serie A"
"2649","Fabian Delph","Central Midfield","25","2015-2016",11500000,"Premier League"
"2650","Jeremain Lens","Right Winger","27","2015-2016",11400000,"Premier League"
"2651","Tyrone Mings","Centre-Back","22","2015-2016",11300000,"Premier League"
"2652","James Chester","Centre-Back","26","2015-2016",11300000,"Premier League"
"2653","Gonzalo Castro","Central Midfield","28","2015-2016",11000000,"1.Bundesliga"
"2654","Asmir Begovic","Goalkeeper","28","2015-2016",11000000,"Premier League"
"2655","Ciro Immobile","Centre-Forward","25","2015-2016",11000000,"LaLiga"
"2656","Angelo Ogbonna","Centre-Back","27","2015-2016",11000000,"Premier League"
"2657","Kevin Kampl","Central Midfield","24","2015-2016",11000000,"1.Bundesliga"
"2658","Shinji Okazaki","Centre-Forward","29","2015-2016",11000000,"Premier League"
"2659","Steven Naismith","Right Winger","29","2015-2016",11000000,"Premier League"
"2660","Jemerson","Centre-Back","23","2015-2016",11000000,"Ligue 1"
"2661","Jordan Amavi","Left-Back","21","2015-2016",11000000,"Premier League"
"2662","Timm Klose","Centre-Back","27","2015-2016",11000000,"Premier League"
"2663","Fabio Borini","Left Winger","24","2015-2016",10700000,"Premier League"
"2664","Abdoulaye Doucouré","Central Midfield","23","2015-2016",10600000,"Premier League"
"2665","Adalberto Peñaranda","Centre-Forward","18","2015-2016",10600000,"Premier League"
"2666","Johannes Geis","Defensive Midfield","21","2015-2016",10500000,"1.Bundesliga"
"2667","Ricardo Álvarez","Attacking Midfield","27","2015-2016",10500000,"Premier League"
"2668","Dusan Basta","Right-Back","30","2015-2016",10500000,"Serie A"
"2669","Domenico Berardi","Right Winger","20","2015-2016",10000000,"Serie A"
"2670","Serge Aurier","Right-Back","22","2015-2016",10000000,"Ligue 1"
"2671","Josip Drmic","Centre-Forward","22","2015-2016",10000000,"1.Bundesliga"
"2672","Jordan Veretout","Central Midfield","22","2015-2016",10000000,"Premier League"
"2673","Max Gradel","Left Winger","27","2015-2016",10000000,"Premier League"
"2674","Connor Wickham","Centre-Forward","22","2015-2016",10000000,"Premier League"
"2675","Adama Traoré","Right Winger","19","2015-2016",10000000,"Premier League"
"2676","Santi Mina","Centre-Forward","19","2015-2016",10000000,"LaLiga"
"2677","Robbie Brady","Left Midfield","23","2015-2016",9900000,"Premier League"
"2678","Matija Nastasic","Centre-Back","22","2015-2016",9500000,"1.Bundesliga"
"2679","Kevin Trapp","Goalkeeper","25","2015-2016",9500000,"Ligue 1"
"2680","Aderllan Santos","Centre-Back","26","2015-2016",9500000,"LaLiga"
"2681","Alberto Paloschi","Centre-Forward","26","2015-2016",9500000,"Premier League"
"2682","Michail Antonio","Right Winger","25","2015-2016",9500000,"Premier League"
"2683","Mapou Yanga-Mbiwa","Centre-Back","26","2015-2016",9400000,"Ligue 1"
"2684","Lewis Grabban","Centre-Forward","28","2015-2016",9350000,"Premier League"
"2685","Gabriel Boschilia","Left Winger","19","2015-2016",9060000,"Ligue 1"
"2686","Bastian Schweinsteiger","Central Midfield","30","2015-2016",9000000,"Premier League"
"2687","Idrissa Gueye","Central Midfield","25","2015-2016",9000000,"Premier League"
"2688","N'Golo Kanté","Defensive Midfield","24","2015-2016",9000000,"Premier League"
"2689","Guido Carrillo","Centre-Forward","24","2015-2016",9000000,"Ligue 1"
"2690","Étienne Capoue","Defensive Midfield","27","2015-2016",8900000,"Premier League"
"2691","José Manuel Jurado","Attacking Midfield","29","2015-2016",8600000,"Premier League"
"2692","Benjamin Stambouli","Centre-Back","24","2015-2016",8600000,"Ligue 1"
"2693","Andrea Bertolacci","Central Midfield","24","2015-2016",8500000,"Serie A"
"2694","Mattia Destro","Centre-Forward","24","2015-2016",8500000,"Serie A"
"2695","Joshua Kimmich","Right-Back","20","2015-2016",8500000,"1.Bundesliga"
"2696","Rudy Gestede","Centre-Forward","26","2015-2016",8500000,"Premier League"
"2697","Nordin Amrabat","Left Winger","28","2015-2016",8400000,"Premier League"
"2698","Matej Vydra","Centre-Forward","23","2015-2016",8400000,"Premier League"
"2699","Andrea Belotti","Centre-Forward","21","2015-2016",8400000,"Serie A"
"2700","Danny Ings","Centre-Forward","22","2015-2016",8300000,"Premier League"
"2701","Jonny Evans","Centre-Back","27","2015-2016",8300000,"Premier League"
"2702","Obbi Oulare","Centre-Forward","19","2015-2016",8230000,"Premier League"
"2703","Raúl García","Attacking Midfield","29","2015-2016",8000000,"LaLiga"
"2704","Thorgan Hazard","Left Winger","22","2015-2016",8000000,"1.Bundesliga"
"2705","Fernando","Defensive Midfield","23","2015-2016",8000000,"Serie A"
"2706","Luiz Adriano","Centre-Forward","28","2015-2016",8000000,"Serie A"
"2707","Jeison Murillo","Centre-Back","23","2015-2016",8000000,"Serie A"
"2708","Samu García","Right Winger","24","2015-2016",8000000,"LaLiga"
"2709","Samu Castillejo","Right Winger","20","2015-2016",8000000,"LaLiga"
"2710","Steven Nzonzi","Defensive Midfield","26","2015-2016",8000000,"LaLiga"
"2711","Matías Kranevitter","Defensive Midfield","22","2015-2016",8000000,"LaLiga"
"2712","Joselu","Centre-Forward","25","2015-2016",8000000,"Premier League"
"2713","Admir Mehmedi","Second Striker","24","2015-2016",8000000,"1.Bundesliga"
"2714","Kenedy","Left Midfield","19","2015-2016",8000000,"Premier League"
"2715","Jonas Hofmann","Right Winger","23","2015-2016",8000000,"1.Bundesliga"
"2716","Alberto Grassi","Central Midfield","20","2015-2016",8000000,"Serie A"
"2717","Rolando Mandragora","Central Midfield","18","2015-2016",8000000,"Serie A"
"2718","Lucas Ocampos","Left Winger","20","2015-2016",7500000,"Ligue 1"
"2719","Jonathan Tah","Centre-Back","19","2015-2016",7500000,"1.Bundesliga"
"2720","Cédric Bakambu","Centre-Forward","24","2015-2016",7500000,"LaLiga"
"2721","Robert Beric","Centre-Forward","24","2015-2016",7500000,"Ligue 1"
"2722","Jonathas","Centre-Forward","26","2015-2016",7200000,"LaLiga"
"2723","Patrick Roberts","Right Winger","18","2015-2016",7200000,"Premier League"
"2724","Cédric Soares","Right-Back","23","2015-2016",7000000,"Premier League"
"2725","Iago Falque","Right Winger","26","2015-2016",7000000,"Serie A"
"2726","Gökhan Inler","Defensive Midfield","31","2015-2016",7000000,"Premier League"
"2727","Juanmi","Right Winger","22","2015-2016",7000000,"Premier League"
"2728","Mathew Ryan","Goalkeeper","23","2015-2016",7000000,"LaLiga"
"2729","Vlad Chiriches","Centre-Back","25","2015-2016",7000000,"Serie A"
"2730","Grégoire Defrel","Centre-Forward","24","2015-2016",7000000,"Serie A"
"2731","Marko Grujic","Central Midfield","19","2015-2016",7000000,"Premier League"
"2732","Oriol Romeu","Defensive Midfield","23","2015-2016",7000000,"Premier League"
"2733","Yohan Benalouane","Centre-Back","28","2015-2016",7000000,"Premier League"
"2734","Éder","Centre-Forward","27","2015-2016",6700000,"Premier League"
"2735","Daniel Amartey","Defensive Midfield","21","2015-2016",6600000,"Premier League"
"2736","Kyriakos Papadopoulos","Centre-Back","23","2015-2016",6500000,"1.Bundesliga"
"2737","Lewis Holtby","Attacking Midfield","24","2015-2016",6500000,"1.Bundesliga"
"2738","Steven Berghuis","Right Winger","23","2015-2016",6500000,"Premier League"
"2739","Sidnei","Centre-Back","25","2015-2016",6500000,"LaLiga"
"2740","Lamine Koné","Centre-Back","27","2015-2016",6500000,"Premier League"
"2741","Mathieu Valbuena","Left Winger","30","2015-2016",6000000,"Ligue 1"
"2742","Franco Di Santo","Centre-Forward","26","2015-2016",6000000,"1.Bundesliga"
"2743","Aaron Lennon","Right Winger","28","2015-2016",6000000,"Premier League"
"2744","Pedro Obiang","Central Midfield","23","2015-2016",6000000,"Premier League"
"2745","Fabinho","Defensive Midfield","21","2015-2016",6000000,"Ligue 1"
"2746","Kiko Casilla","Goalkeeper","28","2015-2016",6000000,"LaLiga"
"2747","Kevin Wimmer","Centre-Back","22","2015-2016",6000000,"Premier League"
"2748","Eduardo Vargas","Centre-Forward","25","2015-2016",6000000,"1.Bundesliga"
"2749","Gerard Deulofeu","Right Winger","21","2015-2016",6000000,"Premier League"
"2750","Claudio Beauvue","Centre-Forward","27","2015-2016",6000000,"Ligue 1"
"2751","Bernard Mensah","Attacking Midfield","20","2015-2016",6000000,"LaLiga"
"2752","Iago Aspas","Right Winger","27","2015-2016",6000000,"LaLiga"
"2753","Daniele Baselli","Central Midfield","23","2015-2016",6000000,"Serie A"
"2754","Gaël Kakuta","Left Winger","24","2015-2016",6000000,"LaLiga"
"2755","Leandro Paredes","Defensive Midfield","21","2015-2016",6000000,"Serie A"
"2756","Henri Saivet","Attacking Midfield","25","2015-2016",6000000,"Premier League"
"2757","Paul Pogba","Central Midfield","23","2016-2017",105000000,"Premier League"
"2758","Gonzalo Higuaín","Centre-Forward","28","2016-2017",90000000,"Serie A"
"2759","John Stones","Centre-Back","22","2016-2017",55600000,"Premier League"
"2760","Leroy Sané","Left Winger","20","2016-2017",50500000,"Premier League"
"2761","Granit Xhaka","Defensive Midfield","23","2016-2017",45000000,"Premier League"
"2762","Henrikh Mkhitaryan","Attacking Midfield","27","2016-2017",42000000,"Premier League"
"2763","Sadio Mané","Left Winger","24","2016-2017",41200000,"Premier League"
"2764","Shkodran Mustafi","Centre-Back","24","2016-2017",41000000,"Premier League"
"2765","João Mário","Attacking Midfield","23","2016-2017",40000000,"Serie A"
"2766","Julian Draxler","Central Midfield","23","2016-2017",40000000,"Ligue 1"
"2767","Michy Batshuayi","Centre-Forward","22","2016-2017",39000000,"Premier League"
"2768","Eric Bailly","Centre-Back","22","2016-2017",38000000,"Premier League"
"2769","André Gomes","Central Midfield","22","2016-2017",37000000,"LaLiga"
"2770","N'Golo Kanté","Defensive Midfield","25","2016-2017",35800000,"Premier League"
"2771","Mats Hummels","Centre-Back","27","2016-2017",35000000,"1.Bundesliga"
"2772","David Luiz","Centre-Back","29","2016-2017",35000000,"Premier League"
"2773","Moussa Sissoko","Central Midfield","27","2016-2017",35000000,"Premier League"
"2774","Renato Sanches","Central Midfield","18","2016-2017",35000000,"1.Bundesliga"
"2775","Miralem Pjanic","Central Midfield","26","2016-2017",32000000,"Serie A"
"2776","Gabriel Jesus","Centre-Forward","19","2016-2017",32000000,"Premier League"
"2777","Arkadiusz Milik","Centre-Forward","22","2016-2017",32000000,"Serie A"
"2778","Christian Benteke","Centre-Forward","25","2016-2017",31200000,"Premier League"
"2779","Islam Slimani","Centre-Forward","28","2016-2017",30500000,"Premier League"
"2780","Álvaro Morata","Centre-Forward","23","2016-2017",30000000,"LaLiga"
"2781","Paco Alcácer","Centre-Forward","23","2016-2017",30000000,"LaLiga"
"2782","Kévin Gameiro","Centre-Forward","29","2016-2017",30000000,"LaLiga"
"2783","André Schürrle","Left Winger","25","2016-2017",30000000,"1.Bundesliga"
"2784","Gonçalo Guedes","Left Winger","20","2016-2017",30000000,"Ligue 1"
"2785","Gabriel Barbosa","Second Striker","20","2016-2017",29500000,"Serie A"
"2786","Dimitri Payet","Attacking Midfield","29","2016-2017",29300000,"Ligue 1"
"2787","Yannick Bolasie","Left Winger","27","2016-2017",28900000,"Premier League"
"2788","Grzegorz Krychowiak","Defensive Midfield","26","2016-2017",27500000,"Ligue 1"
"2789","Georginio Wijnaldum","Central Midfield","25","2016-2017",27500000,"Premier League"
"2790","Ilkay Gündogan","Central Midfield","25","2016-2017",27000000,"Premier League"
"2791","Nico Gaitán","Left Winger","28","2016-2017",25000000,"LaLiga"
"2792","Samuel Umtiti","Centre-Back","22","2016-2017",25000000,"LaLiga"
"2793","Jesé","Left Winger","23","2016-2017",25000000,"Ligue 1"
"2794","André Ayew","Left Winger","26","2016-2017",24100000,"Premier League"
"2795","Ezequiel Garay","Centre-Back","29","2016-2017",24000000,"LaLiga"
"2796","Naby Keïta","Central Midfield","21","2016-2017",24000000,"1.Bundesliga"
"2797","Marcos Alonso","Left-Back","25","2016-2017",23000000,"Premier League"
"2798","Marko Pjaca","Left Winger","21","2016-2017",23000000,"Serie A"
"2799","Morgan Schneiderlin","Defensive Midfield","27","2016-2017",22900000,"Premier League"
"2800","Breel Embolo","Centre-Forward","19","2016-2017",22500000,"1.Bundesliga"
"2801","Vincent Janssen","Centre-Forward","22","2016-2017",22100000,"Premier League"
"2802","Mario Götze","Attacking Midfield","24","2016-2017",22000000,"1.Bundesliga"
"2803","Antonio Candreva","Right Winger","29","2016-2017",22000000,"Serie A"
"2804","Kevin Volland","Centre-Forward","23","2016-2017",20000000,"1.Bundesliga"
"2805","Didier Ndong","Central Midfield","22","2016-2017",20000000,"Premier League"
"2806","Ahmed Musa","Centre-Forward","23","2016-2017",19500000,"Premier League"
"2807","Mattia Caldara","Centre-Back","22","2016-2017",19000000,"Serie A"
"2808","Sofiane Boufal","Attacking Midfield","22","2016-2017",18700000,"Premier League"
"2809","Joaquín Correa","Left Winger","21","2016-2017",18200000,"LaLiga"
"2810","Claudio Bravo","Goalkeeper","33","2016-2017",18000000,"Premier League"
"2811","Nolito","Left Winger","29","2016-2017",18000000,"Premier League"
"2812","Aleksandar Dragovic","Centre-Back","25","2016-2017",18000000,"1.Bundesliga"
"2813","Leonardo Pavoletti","Centre-Forward","28","2016-2017",18000000,"Serie A"
"2814","Jordon Ibe","Right Winger","20","2016-2017",18000000,"Premier League"
"2815","Borja Bastón","Centre-Forward","23","2016-2017",18000000,"Premier League"
"2816","Wilfred Ndidi","Defensive Midfield","20","2016-2017",17600000,"Premier League"
"2817","Manolo Gabbiadini","Centre-Forward","25","2016-2017",17000000,"Premier League"
"2818","Franco Vázquez","Attacking Midfield","27","2016-2017",16800000,"LaLiga"
"2819","Gerson","Right Winger","19","2016-2017",16600000,"Serie A"
"2820","Lucas Digne","Left-Back","22","2016-2017",16500000,"LaLiga"
"2821","Memphis Depay","Left Winger","22","2016-2017",16000000,"Ligue 1"
"2822","Sime Vrsaljko","Right-Back","24","2016-2017",16000000,"LaLiga"
"2823","Andros Townsend","Right Winger","24","2016-2017",15600000,"Premier League"
"2824","Joe Allen","Central Midfield","26","2016-2017",15500000,"Premier League"
"2825","Nampalys Mendy","Defensive Midfield","24","2016-2017",15500000,"Premier League"
"2826","Ryan Mason","Central Midfield","25","2016-2017",15400000,"Premier League"
"2827","Nacer Chadli","Left Winger","27","2016-2017",15200000,"Premier League"
"2828","Oliver Burke","Right Winger","19","2016-2017",15200000,"1.Bundesliga"
"2829","Robbie Brady","Left Midfield","25","2016-2017",15100000,"Premier League"
"2830","Luka Milivojevic","Defensive Midfield","25","2016-2017",15100000,"Premier League"
"2831","Mohamed Salah","Right Winger","24","2016-2017",15000000,"Serie A"
"2832","Christoph Kramer","Defensive Midfield","25","2016-2017",15000000,"1.Bundesliga"
"2833","Ousmane Dembélé","Right Winger","19","2016-2017",15000000,"1.Bundesliga"
"2834","Pierre-Emile Höjbjerg","Central Midfield","20","2016-2017",15000000,"Premier League"
"2835","Djibril Sidibé","Right-Back","23","2016-2017",15000000,"Ligue 1"
"2836","Isaac Success","Left Winger","20","2016-2017",15000000,"Premier League"
"2837","Amadou Diawara","Defensive Midfield","19","2016-2017",14500000,"Serie A"
"2838","Victor Wanyama","Defensive Midfield","25","2016-2017",14400000,"Premier League"
"2839","Lucas Pérez","Centre-Forward","27","2016-2017",14000000,"Premier League"
"2840","Piotr Zielinski","Central Midfield","22","2016-2017",14000000,"Serie A"
"2841","Filip Kostic","Left Winger","23","2016-2017",14000000,"1.Bundesliga"
"2842","Ashley Williams","Centre-Back","31","2016-2017",14000000,"Premier League"
"2843","Timo Werner","Centre-Forward","20","2016-2017",14000000,"1.Bundesliga"
"2844","Saido Berahino","Centre-Forward","23","2016-2017",13900000,"Premier League"
"2845","Jeffrey Schlupp","Left-Back","24","2016-2017",13800000,"Premier League"
"2846","Roberto Soriano","Left Winger","25","2016-2017",13750000,"LaLiga"
"2847","Leon Bailey","Left Winger","19","2016-2017",13500000,"1.Bundesliga"
"2848","Stevan Jovetic","Centre-Forward","27","2016-2017",13500000,"Serie A"
"2849","Nathan Redmond","Left Winger","22","2016-2017",13500000,"Premier League"
"2850","Stephan El Shaarawy","Left Winger","23","2016-2017",13000000,"Serie A"
"2851","Roberto Pereyra","Attacking Midfield","25","2016-2017",13000000,"Premier League"
"2852","Nicola Sansone","Left Winger","24","2016-2017",13000000,"LaLiga"
"2853","Jasper Cillessen","Goalkeeper","27","2016-2017",13000000,"LaLiga"
"2854","Benjamin Mendy","Left-Back","21","2016-2017",13000000,"Ligue 1"
"2855","Yannick Gerhardt","Left-Back","22","2016-2017",13000000,"1.Bundesliga"
"2856","Yunus Malli","Attacking Midfield","24","2016-2017",12500000,"1.Bundesliga"
"2857","Jannik Vestergaard","Centre-Back","23","2016-2017",12500000,"1.Bundesliga"
"2858","Riechedly Bazoer","Defensive Midfield","20","2016-2017",12000000,"1.Bundesliga"
"2859","Manuel Lanzini","Attacking Midfield","23","2016-2017",12000000,"Premier League"
"2860","Raphaël Guerreiro","Left-Back","22","2016-2017",12000000,"1.Bundesliga"
"2861","Sebastian Rode","Central Midfield","25","2016-2017",12000000,"1.Bundesliga"
"2862","Robert Snodgrass","Right Winger","29","2016-2017",12000000,"Premier League"
"2863","Jeff Hendrick","Central Midfield","24","2016-2017",11800000,"Premier League"
"2864","James Tomkins","Centre-Back","27","2016-2017",11700000,"Premier League"
"2865","Jeffrey Bruma","Centre-Back","24","2016-2017",11500000,"1.Bundesliga"
"2866","Jake Livermore","Defensive Midfield","27","2016-2017",11500000,"Premier League"
"2867","Edin Dzeko","Centre-Forward","30","2016-2017",11000000,"Serie A"
"2868","Kamil Glik","Centre-Back","28","2016-2017",11000000,"Ligue 1"
"2869","Georges-Kevin N'Koudou","Left Winger","21","2016-2017",11000000,"Premier League"
"2870","Andrej Kramaric","Centre-Forward","25","2016-2017",11000000,"1.Bundesliga"
"2871","Cristian Ansaldi","Left-Back","29","2016-2017",10500000,"Serie A"
"2872","Patrick van Aanholt","Left-Back","26","2016-2017",10500000,"Premier League"
"2873","Marten de Roon","Central Midfield","25","2016-2017",10500000,"Premier League"
"2874","Dennis Praet","Central Midfield","22","2016-2017",10000000,"Serie A"
"2875","Giovani Lo Celso","Central Midfield","20","2016-2017",10000000,"Ligue 1"
"2876","Lorenzo Tonelli","Centre-Back","26","2016-2017",10000000,"Serie A"
"2877","Dayot Upamecano","Centre-Back","18","2016-2017",10000000,"1.Bundesliga"
"2878","Josip Brekalo","Left Winger","18","2016-2017",10000000,"1.Bundesliga"
"2879","Éder","Second Striker","29","2016-2017",9800000,"Serie A"
"2880","Mario Lemina","Defensive Midfield","22","2016-2017",9800000,"Serie A"
"2881","Emre Mor","Left Winger","18","2016-2017",9750000,"1.Bundesliga"
"2882","Ganso","Attacking Midfield","26","2016-2017",9500000,"LaLiga"
"2883","Wissam Ben Yedder","Centre-Forward","25","2016-2017",9500000,"LaLiga"
"2884","Papy Djilobodji","Centre-Back","27","2016-2017",9500000,"Premier League"
"2885","Ciro Immobile","Centre-Forward","26","2016-2017",9450000,"Serie A"
"2886","Walace","Defensive Midfield","21","2016-2017",9200000,"1.Bundesliga"
"2887","José Fonte","Centre-Back","33","2016-2017",9200000,"Premier League"
"2888","Miranda","Centre-Back","31","2016-2017",9000000,"Serie A"
"2889","Adem Ljajic","Attacking Midfield","24","2016-2017",9000000,"Serie A"
"2890","Morgan Sanson","Central Midfield","22","2016-2017",9000000,"Ligue 1"
"2891","Antonio Rüdiger","Centre-Back","23","2016-2017",9000000,"Serie A"
"2892","Diego Perotti","Left Winger","27","2016-2017",9000000,"Serie A"
"2893","Sven Kums","Defensive Midfield","28","2016-2017",9000000,"Premier League"
"2894","Gianluca Lapadula","Centre-Forward","26","2016-2017",9000000,"Serie A"
"2895","Kamil Grosicki","Right Winger","28","2016-2017",9000000,"Premier League"
"2896","Daryl Janmaat","Right-Back","27","2016-2017",8900000,"Premier League"
"2897","Ademola Lookman","Left Winger","19","2016-2017",8800000,"Premier League"
"2898","Steven Defour","Central Midfield","28","2016-2017",8600000,"Premier League"
"2899","Alexander Isak","Centre-Forward","17","2016-2017",8600000,"1.Bundesliga"
"2900","Nani","Left Winger","29","2016-2017",8500000,"LaLiga"
"2901","Idrissa Gueye","Central Midfield","26","2016-2017",8500000,"Premier League"
"2902","Emanuel Mammana","Centre-Back","20","2016-2017",8500000,"Ligue 1"
"2903","Jorge","Left-Back","20","2016-2017",8500000,"Ligue 1"
"2904","Gustavo Gómez","Centre-Back","23","2016-2017",8500000,"Serie A"
"2905","Adama Traoré","Right Winger","20","2016-2017",8250000,"Premier League"
"2906","Gianluca Caprari","Second Striker","22","2016-2017",8250000,"Serie A"
